행정구역(구동)별(1),행정구역(구동)별(2),연령별(1),2018,2019,2020,,,
권선구,곡선동,20∼24세,2323,2203,2121,11625,10993,10589
권선구,곡선동,25∼29세,3377,3203,3182,,,
권선구,곡선동,30∼34세,3026,2840,2688,,,
권선구,곡선동,35∼39세,2899,2747,2598,,,
권선구,곡선동,40∼44세,2439,2361,2406,9549,9538,9594
권선구,곡선동,45∼49세,2711,2679,2561,,,
권선구,곡선동,50∼54세,2432,2402,2452,,,
권선구,곡선동,55∼59세,1967,2096,2175,,,
권선구,곡선동,60∼64세,1084,1208,1378,2765,3003,3356
권선구,곡선동,65∼69세,564,631,714,,,
권선구,곡선동,70∼74 세,393,399,437,,,
권선구,곡선동,75∼79세,309,319,328,,,
권선구,곡선동,80∼84세,222,243,267,,,
권선구,곡선동,85세이상,193,203,232,,,
권선구,입북동,합계,17635,17181,16909,,,
권선구,입북동,0∼4세,1000,846,681,4166,3890,3554
권선구,입북동,5∼9세,1139,1107,1038,,,
권선구,입북동,10∼14세,1021,974,944,,,
권선구,입북동,15∼19세,1006,963,891,,,
권선구,입북동,20∼24세,1089,1045,1045,4762,4459,4325
권선구,입북동,25∼29세,993,994,1011,,,
권선구,입북동,30∼34세,964,877,867,,,
권선구,입북동,35∼39세,1716,1543,1402,,,
권선구,입북동,40∼44세,1710,1602,1538,6185,6102,6079
권선구,입북동,45∼49세,1731,1727,1685,,,
권선구,입북동,50∼54세,1422,1468,1540,,,
권선구,입북동,55∼59세,1322,1305,1316,,,
권선구,입북동,60∼64세,896,1031,1145,2522,2730,2951
권선구,입북동,65∼69세,587,587,665,,,
권선구,입북동,70∼74 세,379,422,449,,,
권선구,입북동,75∼79세,330,324,316,,,
권선구,입북동,80∼84세,181,207,208,,,
권선구,입북동,85세이상,149,159,168,,,
팔달구,소계,합계,180974,175866,174930,,,
팔달구,소계,0∼4세,5438,4645,4119,27663,25248,23323
팔달구,소계,5∼9세,6235,5812,5364,,,
팔달구,소계,10∼14세,6786,6282,6155,,,
팔달구,소계,15∼19세,9204,8509,7685,,,
팔달구,소계,20∼24세,13107,12632,12530,55281,53493,53679
팔달구,소계,25∼29세,15297,15539,16450,,,
팔달구,소계,30∼34세,12692,12360,12589,,,
팔달구,소계,35∼39세,14185,12962,12110,,,
팔달구,소계,40∼44세,13602,12782,12474,61181,59075,57870
팔달구,소계,45∼49세,16194,15470,14851,,,
팔달구,소계,50∼54세,15598,15303,15554,,,
팔달구,소계,55∼59세,15787,15520,14991,,,
팔달구,소계,60∼64세,12258,12696,13221,36849,38050,40058
팔달구,소계,65∼69세,8094,8427,9229,,,
팔달구,소계,70∼74 세,6365,6471,6706,,,
팔달구,소계,75∼79세,5030,5099,5195,,,
팔달구,소계,80∼84세,3046,3167,3323,,,
팔달구,소계,85세이상,2056,2190,2384,,,
팔달구,행궁동,합계,11140,10927,10916,,,
팔달구,행궁동,0∼4세,152,143,143,882,793,742
팔달구,행궁동,5∼9세,166,141,129,,,
